FamiliaDesc,EspecialidadCertificado,CentroCP,CursoCodigo,DirigidoA,CentroMunicipio,CursoDesc,Censo,CentroTfno,Duracion,SectorDesc,EspecialidadDesc1,CentroEmail,Modalidad,CentroDireccion,SieCodigo,EspecialidadDesc,AreaDesc,CentroDesc
Servicios socioculturales y a la comunidad,NO,28938,18/8010,Desempleados,MOSTOLES,INGLÉS A2,23187,916853090,150,Servicios,INGLÉS A2,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8010,SSCE02,Formación y educación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Servicios socioculturales y a la comunidad,NO,28938,18/8011,Desempleados,MOSTOLES,INGLÉS A2,23187,916853090,150,Servicios,INGLÉS A2,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8011,SSCE02,Formación y educación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Servicios socioculturales y a la comunidad,NO,28938,18/8012,Desempleados,MOSTOLES,INGLÉS B1,23187,916853090,240,Servicios,INGLÉS B1,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8012,SSCE03,Formación y educación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Servicios socioculturales y a la comunidad,NO,28938,18/8013,Desempleados,MOSTOLES,INGLÉS B2,23187,916853090,240,Servicios,INGLÉS B2,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8013,SSCE04,Formación y educación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Informática  y comunicaciones,NO,28932,18/8014,Desempleados,MOSTOLES,PROGRAMACIÓN ORIENTADA A OBJETOS CON JAVA,1564,916853090,80,Servicios,PROGRAMACIÓN ORIENTADA A OBJETOS CON JAVA,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8014,IFCD09,Desarrollo,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8015,Desempleados,MOSTOLES,DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT,1564,916853090,200,Servicios,DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8015,IFCD27,Desarrollo,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8016,Desempleados,MOSTOLES,DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,1564,916853090,300,Servicios,DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8016,IFCD28,Desarrollo,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8017,Desempleados,MOSTOLES,"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",1564,916853090,100,Servicios,"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8017,IFCT38,Sistemas y telemática,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8018,Desempleados,MOSTOLES,"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",1564,916853090,100,Servicios,"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8018,IFCT38,Sistemas y telemática,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8019,Desempleados,MOSTOLES,POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES,1564,916853090,100,Servicios,POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8019,IFCT39,Sistemas y telemática,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8020,Desempleados,MOSTOLES,COMPETENCIAS DIGITALES BÁSICAS,1564,916853090,60,Servicios,COMPETENCIAS DIGITALES BÁSICAS,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8020,IFCT45,Sistemas y telemática,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8021,Desempleados,MOSTOLES,COMPETENCIAS DIGITALES AVANZADAS,1564,916853090,60,Servicios,COMPETENCIAS DIGITALES AVANZADAS,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8021,IFCT46,Sistemas y telemática,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Actividades fisicas y deportivas,SÍ,28938,18/8022,Desempleados,MOSTOLES,INSTRUCCIÓN EN YOGA,23187,916853090,430,Servicios,INSTRUCCIÓN EN YOGA,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8022,AFDA0311,Actividades físico-deportivo recreativas,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Actividades fisicas y deportivas,SÍ,28938,18/8023,Desempleados,MOSTOLES,SOCORRISMO EN INSTALACIONES ACUÁTICAS,23187,916853090,290,Servicios,SOCORRISMO EN INSTALACIONES ACUÁTICAS,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8023,AFDP0109,Prevención y recuperación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Imagen y sonido,SÍ,28938,18/8024,Desempleados,MOSTOLES,MONTAJE Y POSTPRODUCCIÓN DE AUDIOVISUALES,23187,916853090,430,Servicios,MONTAJE Y POSTPRODUCCIÓN DE AUDIOVISUALES,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8024,IMSV0109,Producción audiovisual,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Sanidad,SÍ,28938,18/8025,Desempleados,MOSTOLES,ATENCIÓN SANITARIA A MÚLTIPLES VÍCTIMAS Y CATÁSTROFES,23187,916853090,340,Servicios,ATENCIÓN SANITARIA A MÚLTIPLES VÍCTIMAS Y CATÁSTROFES,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8025,SANT0108,Atención sanitaria,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Servicios socioculturales y a la comunidad,SÍ,28938,18/8026,Desempleados,MOSTOLES,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,23187,916853090,150,Servicios,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8026,SSCB0209,Actividades culturales y recreativas,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Servicios socioculturales y a la comunidad,NO,28938,18/8027,Desempleados,MOSTOLES,INGLÉS B1,23187,916853090,240,Servicios,INGLÉS B1,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8027,SSCE03,Formación y educación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Servicios socioculturales y a la comunidad,NO,28938,18/8028,Desempleados,MOSTOLES,INGLÉS B2,23187,916853090,240,Servicios,INGLÉS B2,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8028,SSCE04,Formación y educación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Agraria,SÍ,28938,18/8029,Desempleados,MOSTOLES,"ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA",28064,,250,Agricultura,"ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA",,Presencial,"Calle Moraleja de En medio, s/n  ",CCLL2018/8029,AGAO0108,Ornamentales y jardinería,CENTRO MUNICIPAL DE FORMACION MOSTOLES DESARROLLO 2
Agraria,SÍ,28804,18/8030,Desempleados,ALCALA DE HENARES,"ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA",16190,918836531,250,Agricultura,"ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA",cdmalcala@telefonica.net,Presencial,"Avenida Virgen del Val, 4  ",CCLL2018/8030,AGAO0108,Ornamentales y jardinería,CIUDAD DEPORT. MUNICIPAL
Hostelería y turismo,SÍ,28804,18/8031,Desempleados,ALCALA DE HENARES,OPERACIONES BÁSICAS DE COCINA,16190,918836531,270,Servicios,OPERACIONES BÁSICAS DE COCINA,cdmalcala@telefonica.net,Presencial,"Avenida Virgen del Val, 4  ",CCLL2018/8031,HOTR0108,Restauración,CIUDAD DEPORT. MUNICIPAL
Hostelería y turismo,SÍ,28804,18/8032,Desempleados,ALCALA DE HENARES,OPERACIONES BÁSICAS DE COCINA,16190,918836531,270,Servicios,OPERACIONES BÁSICAS DE COCINA,cdmalcala@telefonica.net,Presencial,"Avenida Virgen del Val, 4  ",CCLL2018/8032,HOTR0108,Restauración,CIUDAD DEPORT. MUNICIPAL
Hostelería y turismo,SÍ,28804,18/8033,Desempleados,ALCALA DE HENARES,OPERACIONES BÁSICAS DE PASTELERÍA,16190,918836531,330,Servicios,OPERACIONES BÁSICAS DE PASTELERÍA,cdmalcala@telefonica.net,Presencial,"Avenida Virgen del Val, 4  ",CCLL2018/8033,HOTR0109,Restauración,CIUDAD DEPORT. MUNICIPAL
Agraria,SÍ,28804,18/8034,Desempleados,ALCALA DE HENARES,"ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA",16190,918836531,250,Agricultura,"ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA",cdmalcala@telefonica.net,Presencial,"Avenida Virgen del Val, 4  ",CCLL2018/8034,AGAO0108,Ornamentales y jardinería,CIUDAD DEPORT. MUNICIPAL
Hostelería y turismo,SÍ,28804,18/8035,Desempleados,ALCALA DE HENARES,OPERACIONES BÁSICAS DE COCINA,16190,918836531,270,Servicios,OPERACIONES BÁSICAS DE COCINA,cdmalcala@telefonica.net,Presencial,"Avenida Virgen del Val, 4  ",CCLL2018/8035,HOTR0108,Restauración,CIUDAD DEPORT. MUNICIPAL
Hostelería y turismo,SÍ,28804,18/8036,Desempleados,ALCALA DE HENARES,OPERACIONES BÁSICAS DE COCINA,16190,918836531,270,Servicios,OPERACIONES BÁSICAS DE COCINA,cdmalcala@telefonica.net,Presencial,"Avenida Virgen del Val, 4  ",CCLL2018/8036,HOTR0108,Restauración,CIUDAD DEPORT. MUNICIPAL
Hostelería y turismo,SÍ,28804,18/8037,Desempleados,ALCALA DE HENARES,OPERACIONES BÁSICAS DE PASTELERÍA,16190,918836531,330,Servicios,OPERACIONES BÁSICAS DE PASTELERÍA,cdmalcala@telefonica.net,Presencial,"Avenida Virgen del Val, 4  ",CCLL2018/8037,HOTR0109,Restauración,CIUDAD DEPORT. MUNICIPAL
Servicios socioculturales y a la comunidad,SÍ,28925,18/8038,Desempleados,ALCORCON,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,1532,916648415,370,Servicios,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,imepe@ayto-alcorcon.es,Presencial,"Calle Industrias, 73  ",CCLL2018/8038,SSCS0208,Asistencia social,C.FORMACION Y PROMOC.EMP
Administración y gestión,SÍ,28925,18/8039,Desempleados,ALCORCON,OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES,1532,916648415,390,Servicios,OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES,imepe@ayto-alcorcon.es,Presencial,"Calle Industrias, 73  ",CCLL2018/8039,ADGG0408,Gestión de la información y la comunicación,C.FORMACION Y PROMOC.EMP
Administración y gestión,SÍ,28925,18/8040,Desempleados,ALCORCON,OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS,1532,916648415,360,Servicios,OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS,imepe@ayto-alcorcon.es,Presencial,"Calle Industrias, 73  ",CCLL2018/8040,ADGG0508,Gestión de la información y la comunicación,C.FORMACION Y PROMOC.EMP
Servicios socioculturales y a la comunidad,NO,28925,18/8041,Desempleados,ALCORCON,INGLÉS A1,1532,916648415,150,Servicios,INGLÉS A1,imepe@ayto-alcorcon.es,Presencial,"Calle Industrias, 73  ",CCLL2018/8041,SSCE01,Formación y educación,C.FORMACION Y PROMOC.EMP
Servicios socioculturales y a la comunidad,NO,28925,18/8042,Desempleados,ALCORCON,INGLÉS A2,1532,916648415,150,Servicios,INGLÉS A2,imepe@ayto-alcorcon.es,Presencial,"Calle Industrias, 73  ",CCLL2018/8042,SSCE02,Formación y educación,C.FORMACION Y PROMOC.EMP
Servicios socioculturales y a la comunidad,SÍ,28925,18/8043,Desempleados,ALCORCON,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,1532,916648415,370,Servicios,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,imepe@ayto-alcorcon.es,Presencial,"Calle Industrias, 73  ",CCLL2018/8043,SSCS0208,Asistencia social,C.FORMACION Y PROMOC.EMP
Servicios socioculturales y a la comunidad,SÍ,28925,18/8044,Desempleados,ALCORCON,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,1532,916648415,370,Servicios,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,imepe@ayto-alcorcon.es,Presencial,"Calle Industrias, 73  ",CCLL2018/8044,SSCS0208,Asistencia social,C.FORMACION Y PROMOC.EMP
Informática  y comunicaciones,SÍ,28805,18/8045,Desempleados,ALCALA DE HENARES,CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB,1139,918823806,480,Servicios,CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB,cursosempleo@ayto-alcaladehenares.es,Presencial,"Vía Complutense, 128  ",CCLL2018/8045,IFCD0110,Desarrollo,C.DE FORM. PROFESIONAL
Informática  y comunicaciones,SÍ,28805,18/8046,Desempleados,ALCALA DE HENARES,OPERACIONES AUXILIARES DE MONTAJE Y MANTENIMIENTO DE SISTEMAS MICROINFORMÁTICOS,1139,918823806,290,Servicios,OPERACIONES AUXILIARES DE MONTAJE Y MANTENIMIENTO DE SISTEMAS MICROINFORMÁTICOS,cursosempleo@ayto-alcaladehenares.es,Presencial,"Vía Complutense, 128  ",CCLL2018/8046,IFCT0108,Sistemas y telemática,C.DE FORM. PROFESIONAL
Servicios socioculturales y a la comunidad,SÍ,28805,18/8047,Desempleados,ALCALA DE HENARES,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,1139,918823806,370,Servicios,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,cursosempleo@ayto-alcaladehenares.es,Presencial,"Vía Complutense, 128  ",CCLL2018/8047,SSCS0208,Asistencia social,C.DE FORM. PROFESIONAL
Comercio y marketing,SÍ,28803,18/8048,Desempleados,ALCALA DE HENARES,ACTIVIDADES AUXILIARES DE ALMACÉN,28120,,170,Servicios,ACTIVIDADES AUXILIARES DE ALMACÉN,,Presencial,"Carretera M300 Km25 Cañada de los Barrancos, s/n  ",CCLL2018/8048,COML0110,Logística comercial y gestión del transporte,EPE Alcalá Desarrollo - Fundación Nº 1
Administración y gestión,SÍ,28805,18/8049,Desempleados,ALCALA DE HENARES,ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE,1139,918823806,680,Servicios,ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE,cursosempleo@ayto-alcaladehenares.es,Presencial,"Vía Complutense, 128  ",CCLL2018/8049,ADGG0208,Gestión de la información y la comunicación,C.DE FORM. PROFESIONAL
Comercio y marketing,SÍ,28805,18/8050,Desempleados,ALCALA DE HENARES,ORGANIZACIÓN Y GESTIÓN DE ALMACENES,1139,918823806,310,Servicios,ORGANIZACIÓN Y GESTIÓN DE ALMACENES,cursosempleo@ayto-alcaladehenares.es,Presencial,"Vía Complutense, 128  ",CCLL2018/8050,COML0309,Logística comercial y gestión del transporte,C.DE FORM. PROFESIONAL
Informática  y comunicaciones,SÍ,28805,18/8051,Desempleados,ALCALA DE HENARES,MONTAJE Y REPARACIÓN DE SISTEMAS MICROINFORMÁTICOS,1139,918823806,470,Servicios,MONTAJE Y REPARACIÓN DE SISTEMAS MICROINFORMÁTICOS,cursosempleo@ayto-alcaladehenares.es,Presencial,"Vía Complutense, 128  ",CCLL2018/8051,IFCT0309,Sistemas y telemática,C.DE FORM. PROFESIONAL
Servicios socioculturales y a la comunidad,SÍ,28805,18/8052,Desempleados,ALCALA DE HENARES,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,1139,918823806,370,Servicios,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,cursosempleo@ayto-alcaladehenares.es,Presencial,"Vía Complutense, 128  ",CCLL2018/8052,SSCS0208,Asistencia social,C.DE FORM. PROFESIONAL
Comercio y marketing,SÍ,28803,18/8053,Desempleados,ALCALA DE HENARES,ACTIVIDADES AUXILIARES DE ALMACÉN,28120,,170,Servicios,ACTIVIDADES AUXILIARES DE ALMACÉN,,Presencial,"Carretera M300 Km25 Cañada de los Barrancos, s/n  ",CCLL2018/8053,COML0110,Logística comercial y gestión del transporte,EPE Alcalá Desarrollo - Fundación Nº 1
Informática  y comunicaciones,NO,28607,18/8054,Desempleados,ALAMO (EL),TÉCNICO EN SOFTWARE OFIMÁTICO,27791,918609510,350,Servicios,TÉCNICO EN SOFTWARE OFIMÁTICO,adl@aytoelalamo.es,Presencial,"Avenida Toledo, 36  ",CCLL2018/8054,IFCI17,Informática,CENTRO CIVICO EL ALAMO
Servicios socioculturales y a la comunidad,SÍ,28607,18/8055,Desempleados,ALAMO (EL),DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,27791,918609510,150,Servicios,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,adl@aytoelalamo.es,Presencial,"Avenida Toledo, 36  ",CCLL2018/8055,SSCB0209,Actividades culturales y recreativas,CENTRO CIVICO EL ALAMO
Administración y gestión,NO,28607,18/8056,Desempleados,ALAMO (EL),INGLÉS: GESTIÓN COMERCIAL,27791,918609510,200,Servicios,INGLÉS: GESTIÓN COMERCIAL,adl@aytoelalamo.es,Presencial,"Avenida Toledo, 36  ",CCLL2018/8056,ADGX01,Especialidades sin área definida (administración y oficinas),CENTRO CIVICO EL ALAMO
Informática  y comunicaciones,NO,28607,18/8057,Desempleados,ALAMO (EL),DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,27791,918609510,300,Servicios,DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,adl@aytoelalamo.es,Presencial,"Avenida Toledo, 36  ",CCLL2018/8057,IFCD28,Desarrollo,CENTRO CIVICO EL ALAMO
Informática  y comunicaciones,NO,28607,18/8058,Desempleados,ALAMO (EL),"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",27791,918609510,100,Servicios,"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",adl@aytoelalamo.es,Presencial,"Avenida Toledo, 36  ",CCLL2018/8058,IFCT38,Sistemas y telemática,CENTRO CIVICO EL ALAMO
Servicios socioculturales y a la comunidad,SÍ,28607,18/8059,Desempleados,ALAMO (EL),DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,27791,918609510,150,Servicios,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,adl@aytoelalamo.es,Presencial,"Avenida Toledo, 36  ",CCLL2018/8059,SSCB0209,Actividades culturales y recreativas,CENTRO CIVICO EL ALAMO
Administración y gestión,SÍ,28500,18/8060,Desempleados,ARGANDA DEL REY,OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES,26950,918711344,390,Servicios,OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES,desarrollo_local@ayto-arganda.es,Presencial,"Calle Montealegre, 11  ",CCLL2018/8060,ADGG0408,Gestión de la información y la comunicación,CENT.SERV.EMPRESARIALES
Comercio y marketing,SÍ,28500,18/8061,Desempleados,ARGANDA DEL REY,ORGANIZACIÓN DEL TRANSPORTE Y LA DISTRIBUCIÓN,26950,918711344,340,Servicios,ORGANIZACIÓN DEL TRANSPORTE Y LA DISTRIBUCIÓN,desarrollo_local@ayto-arganda.es,Presencial,"Calle Montealegre, 11  ",CCLL2018/8061,COML0209,Logística comercial y gestión del transporte,CENT.SERV.EMPRESARIALES
Comercio y marketing,SÍ,28500,18/8062,Desempleados,ARGANDA DEL REY,ORGANIZACIÓN Y GESTIÓN DE ALMACENES,26950,918711344,310,Servicios,ORGANIZACIÓN Y GESTIÓN DE ALMACENES,desarrollo_local@ayto-arganda.es,Presencial,"Calle Montealegre, 11  ",CCLL2018/8062,COML0309,Logística comercial y gestión del transporte,CENT.SERV.EMPRESARIALES
Informática  y comunicaciones,NO,28500,18/8063,Desempleados,ARGANDA DEL REY,"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",26950,918711344,100,Servicios,"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",desarrollo_local@ayto-arganda.es,Presencial,"Calle Montealegre, 11  ",CCLL2018/8063,IFCT38,Sistemas y telemática,CENT.SERV.EMPRESARIALES
Informática  y comunicaciones,NO,28500,18/8064,Desempleados,ARGANDA DEL REY,POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES,26950,918711344,100,Servicios,POSICIONAMIENTO WEB Y MARKETING DIGITAL EN BUSCADORES,desarrollo_local@ayto-arganda.es,Presencial,"Calle Montealegre, 11  ",CCLL2018/8064,IFCT39,Sistemas y telemática,CENT.SERV.EMPRESARIALES
